Site 1,Site 2,Site 3
Super Mario Odyssey,The Legend of Zelda: Breath of the Wild,The Legend of Zelda: Breath of the Wild
The Legend Of Zelda: Breath Of The Wild,PlayerUnknown’s Battlegrounds,Horizon: Zero Dawn
PlayerUnknown's Battlegrounds,Super Mario Odyssey,Assassin’s Creed Origins
Nier: Automata,Nier: Automata,Super Mario Odyssey
Horizon Zero Dawn,Resident Evil 7,What Remains of Edith Finch
,,
,,
Site 4,Site 5,Site 6
The Legend Of Zelda: Breath Of The Wild,Horizon Zero Dawn,The Legend of Zelda: Breath of the Wild
Horizon Zero Dawn,The Legend of Zelda: Breath of the Wild,Super Mario Odyssey
Super Mario Odyssey ,Assassin's Creed Origins,Persona 5 
Persona 5 ,Super Mario Odyssey,Divinity: Original Sin II
,PlayerUnknowns Battlegrounds,Okami HD
,,
,,
Site 7,Site 8,
PlayerUnknown’s Battlegrounds,The Legend of Zelda: Breath of the Wild,
Super Mario Odyssey,Horizon: Zero Dawn,
Horizon Zero Dawn,Nier: Automata,
The Legend of Zelda: Breath of the Wild,Torment: Tides of Numenera,
Resident Evil 7: Biohazard,Persona 5,
,What Remains of Edith Finch,
,,
,,
,,
,Publisher,Genre
Super Mario Odyssey,Nintendo,Platform
The Legend of Zelda: Breath of the Wild,Nintendo,Adventure
PlayerUnknown's Battlegrounds,PUBG Corp,Shooter
Horizon Zero Dawn,Guerilla Games,Role-Playing
Nier: Automata,Platinum Games,Role-Playing
Persona 5 ,Atlus,Role-Playing
